Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,piperacillin/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.68, 0.97]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,meropenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.70, CI[0.63, 0.77]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ceftazidime/avibactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,amikacin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ciprofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,levofloxacin,Resistant,,,,,Computational Prediction,"Accuracy:0.845, F1 score:0.852, AUC:0.898",AdaBoost Classifier,PATRIC,,,,,,,,
287,287.25246,Pseudomonas aeruginosa DMC30b,ceftazidime,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,piperacillin/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.68, 0.97]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,tobramycin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,tobramycin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,ceftolozane/tazobactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ceftazidime,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,tobramycin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,meropenem,,4,,4,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.41, CI[0.37, 0.46]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,colistin,,1,,1,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ceftolozane/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ceftazidime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.75, CI[0.70, 0.81]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ceftolozane/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,levofloxacin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.66, CI[0.59, 0.73]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ceftazidime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.75, CI[0.70, 0.81]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,ciprofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,gentamicin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.86, 0.96]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,tobramycin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,piperacillin/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.68, 0.97]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,ceftazidime/avibactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,
